DMA,Sector,Household,Non-household
889,YO15 3,2044,249
889,YO16 4,48,91
890,S62 5,846,17
891,YO13 0,824,25
893,DN14 0,336,12
894,HX2 9,1440,44
895,HX1 3,606,26
896,DL8 1,189,13
896,DL8 5,217,31
897,LS9 8,2025,42
898,WF17 0,247,10
900,HX7 6,126,13
900,OL14 6,51,7
901,BD20 9,274,13
902,HD5 8,47,27
902,HD5 9,1484,41
903,LS23 6,1159,32
904,HD3 3,612,15
906,DN14 6,1131,8
907,LS9 6,32,11
907,LS9 7,205,11
908,LS16 7,204,12
909,HD1 5,323,28
909,HD2 2,461,7
910,YO61 3,27,7
911,LS10 2,674,74
912,HD9 5,66,11
913,YO25 3,313,53
914,HU19 2,270,53
915,S35 1,839,20
915,S61 2,214,11
917,LS28 6,747,68
918,BD23 4,85,16
918,BD24 0,96,11
919,DN5 9,1321,18
920,S66 9,1529,72
921,LS25 1,732,148
921,LS25 2,93,51
922,S70 4,1651,44
923,DN14 7,101,30
923,HU15 2,1054,40
924,YO12 5,530,11
924,YO12 6,22,6
925,S61 2,618,31
926,YO13 0,525,28
928,HU16 4,2018,128
928,HU16 5,354,49
930,DL10 5,287,21
931,HG3 1,239,26
932,DN11 0,553,6
933,HD5 0,272,10
933,HD8 0,182,6
935,HD4 6,182,9
935,HD5 8,832,29
936,BB18 5,915,44
936,BB18 6,946,32
937,LS16 6,646,25
937,LS16 7,150,22
940,HX1 2,251,23
940,HX1 3,1068,118
941,LS6 1,1133,40
942,BD7 2,852,51
942,BD7 3,207,11
943,LS28 5,643,10
944,YO17 9,503,36
945,WF4 1,80,68
947,LS12 5,988,99
948,LS11 0,653,36
949,LS9 9,864,25
950,HD6 2,1367,26
951,WF1 2,769,11
951,WF2 0,309,18
952,OL14 8,331,15
953,WF2 6,783,8
954,HD8 8,115,9
